year	imdbId	title	originalTitle	genre1	genre2	genre3	boxOffice	rank	category	winner
2013	2125435	Les bêtes du Sud sauvage	Beasts of the Southern Wild	Adventure	Drama	Fantasy	13819405	119	Best Picture	false
2013	443272	Lincoln	Lincoln	Biography	Drama	History	196784610	13	Best Picture	false
2013	1790885	Zero Dark Thirty	Zero Dark Thirty	Drama	Thriller		103378373	32	Best Picture	false
2013	454876	L'odyssée de Pi	L'odyssée de Pi	Adventure	Drama	Fantasy	134985984	27	Best Directing	true
2013	2125435	Les bêtes du Sud sauvage	Les bêtes du Sud sauvage	Adventure	Drama	Fantasy	13819405	119	Best Directing	false
2013	1045658	Happiness Therapy	Happiness Therapy	Comedy	Drama	Romance	142660394	23	Best Directing	false
2013	1602620	Amour	Amour	Drama	Romance		7278651	130	Best Directing	false
2013	443272	Lincoln	Lincoln	Biography	Drama	History	196784610	13	Best Directing	false
2013	1853728	Django Unchained	Django Unchained	Drama	Western		175829868	15	Best Original Screenplay	true
2013	1602620	Amour	Amour	Drama	Romance		7278651	130	Best Original Screenplay	false
2013	1907668	Flight	Flight	Drama	Thriller		101274165	33	Best Original Screenplay	false
2013	1748122	Moonrise Kingdom	Moonrise Kingdom	Adventure	Comedy	Drama	49153463	69	Best Original Screenplay	false
2013	1790885	Zero Dark Thirty	Zero Dark Thirty	Drama	Thriller		103378373	32	Best Original Screenplay	false
2013	1024648	Argo	Argo	Biography	Drama	Thriller	146907543	22	Best Adapted Screenplay	true
2013	1045658	Happiness Therapy	Silver Linings Playbook	Comedy	Drama	Romance	142660394	23	Best Adapted Screenplay	false
2013	454876	L'odyssée de Pi	Life of Pi	Adventure	Drama	Fantasy	134985984	27	Best Adapted Screenplay	false
2013	2125435	Les bêtes du Sud sauvage	Beasts of the Southern Wild	Adventure	Drama	Fantasy	13819405	119	Best Adapted Screenplay	false
2013	443272	Lincoln	Lincoln	Biography	Drama	History	196784610	13	Best Adapted Screenplay	false
2013	454876	L'odyssée de Pi	Life of Pi	Adventure	Drama	Fantasy	134985984	27	Best Cinematography	true
2013	1781769	Anna Karenine	Anna Karenina	Drama	Romance		13841676	118	Best Cinematography	false
2013	1853728	Django Unchained	Django Unchained	Drama	Western		175829868	15	Best Cinematography	false
2013	443272	Lincoln	Lincoln	Biography	Drama	History	196784610	13	Best Cinematography	false
2013	1074638	Skyfall	Skyfall	Action	Adventure	Thriller	328709099	4	Best Cinematography	false
